#RUNGE KUTTA   S1,S2 = -0.3000000000000000,  0.4000000000000000
#        HMIN,H,HMAX =  0.2500000000000000E-03,  0.5000000000000000E-01,  0.3500000000000000
#             EPS,BS =  0.1000000000000000E-09,  0.2000000000000000E-08
# STEP    S                 DS
     0 -0.3000000000E+00  0.50000E-01
     1 -0.2500000000E+00  0.50000E-01
     3 -0.1833333333E+00  0.66667E-01
     5 -0.9564274470E-01  0.87691E-01
     7 -0.7361943858E-01  0.22023E-01
     8 -0.3330306127E-01  0.40316E-01
     9  0.2710384519E-02  0.36013E-01
    10  0.3417421772E-01  0.31464E-01
    11  0.7690860517E-01  0.42734E-01
    12  0.1273966794E+00  0.50488E-01
    13  0.2033201778E+00  0.75923E-01
    14  0.2817203723E+00  0.78400E-01
    15  0.3810322665E+00  0.99312E-01
    16  0.4000000000E+00  0.18968E-01
#ERROR ESTIMATE  0.2009841180498535E-08
